kind,id,namespace,gated_namespace,removed,source,detail
item,minecraft:rabbit,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:large_fern,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:black_wool,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:mangrove_button,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:slime_ball,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:horse_spawn_egg,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:spruce_fence_gate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:leather_chestplate,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:spruce_sapling,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:yellow_bed,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:piglin_brute_spawn_egg,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:music_disc_stal,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:iron_block,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:brewer_pottery_sherd,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:beehive,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:spruce_sign,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:dead_tube_coral_fan,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:dark_oak_door,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:cooked_porkchop,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:honeycomb,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:blackstone,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:lapis_ore,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:gravel,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:big_dripleaf,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:music_disc_far,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:writable_book,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:birch_wood,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:leather_helmet,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:tropical_fish_spawn_egg,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:glow_item_frame,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:birch_sapling,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:light_blue_bed,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:bamboo_mosaic,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:oak_wood,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
item,minecraft:scaffolding,minecraft,true,false,MANIFEST_DEFAULT,no manifest entry - defaulting to allowed
